handle,caption_name,location_lower,exclude_groups,Location,Entity Type,Related Entity,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
vitalikbuterin,Ethereum Founder Vitalik Buterin,"moscow, russia",ethereum founder vitalik buterin,"Moscow, Russia",Influencer,Ethereum,Exec,Ethereum Founder Vitalik Buterin,,dgm_crypto_handles,d513e92f6266722c5fca689bdcf40c47,dgm_crypto_handles__d513e92f6266722c5fca689bdcf40c47
satoshilite,Litecoin Founder Charlie Lee,"new york, ny",litecoin founder charlie lee,"New York, NY",Influencer,Litecoin,Organization,Litecoin Founder Charlie Lee,,dgm_crypto_handles,bbb56e3aff0c59e3619a74734917905a,dgm_crypto_handles__bbb56e3aff0c59e3619a74734917905a
aantonop,Author Andreas Antonopoulos,"london, uk",author andreas antonopoulos,"London, UK",Influencer,Bitcoin,Legislator,Author Andreas Antonopoulos,,dgm_crypto_handles,8aa27ab971d4f04fc530c552060c3556,dgm_crypto_handles__8aa27ab971d4f04fc530c552060c3556
rogerkver,Bitcoin.com CEO Roger Ver,"san francisco, ca",bitcoin.com ceo roger ver,"San Francisco, CA",Influencer,Bitcoin Cash,Consulates,Bitcoin.com CEO Roger Ver,,dgm_crypto_handles,6ea70021fefaa433d459cdb65d03fafb,dgm_crypto_handles__6ea70021fefaa433d459cdb65d03fafb
justinsuntron,Tron Founder Justin Sun,"xining, china",tron founder justin sun,"Xining, China",Influencer,Tron,AAEntity,Tron Founder Justin Sun,,dgm_crypto_handles,7e0e38d7c1d1cdc21ed85cb54040a79c,dgm_crypto_handles__7e0e38d7c1d1cdc21ed85cb54040a79c
erikvoorhees,ShapeShift CEO Voorhees,"san francisco, ca",shapeshift ceo voorhees,"San Francisco, CA",Influencer,,Organization,ShapeShift CEO Voorhees,,dgm_crypto_handles,98f9e19b4cd63bc831fc22cbb45e8ab1,dgm_crypto_handles__98f9e19b4cd63bc831fc22cbb45e8ab1
cz_binance,Binance CEO Changpeng Zhao,"jiangsu, china",binance ceo changpeng zhao,"Jiangsu, China",Influencer,Binance,AAEntity,Binance CEO Changpeng Zhao,,dgm_crypto_handles,091260861f62c9bfd5d69514685a7a37,dgm_crypto_handles__091260861f62c9bfd5d69514685a7a37
brian_armstrong,Coinbase CEO Armstrong,"san francisco, ca",coinbase ceo armstrong,"San Francisco, CA",Influencer,Coinbase,ForeignMinistry,Coinbase CEO Armstrong,,dgm_crypto_handles,3ecc88cb4c171b07a64ff6e57681536d,dgm_crypto_handles__3ecc88cb4c171b07a64ff6e57681536d
nickszabo4,Computer scientist Nick Szabo,"san francisco, ca",computer scientist nick szabo,"San Francisco, CA",Influencer,,LegislativeCommittee,Computer scientist Nick Szabo,,dgm_crypto_handles,0888a471d806017c97b41e9dc45c5c37,dgm_crypto_handles__0888a471d806017c97b41e9dc45c5c37
apompliano,Morgan Creek Digital Partner Pompliano,"san francisco, ca",morgan creek digital partner pompliano,"San Francisco, CA",Influencer,,Organization,Morgan Creek Digital Partner Pompliano,,dgm_crypto_handles,e0140feff8fb0515212bc623b7004916,dgm_crypto_handles__e0140feff8fb0515212bc623b7004916
barrysilbert,Digital Currency Group CEO Silbert,"san francisco, ca",digital currency group ceo silbert,"San Francisco, CA",Influencer,Digital Currency Group,Refinery,Digital Currency Group CEO Silbert,,dgm_crypto_handles,35cb9eaeb59b078c7795f7ec78c8638e,dgm_crypto_handles__35cb9eaeb59b078c7795f7ec78c8638e
charlieshrem,Bitcoin Foundation Director Shrem,"san francisco, ca",bitcoin foundation director shrem,"San Francisco, CA",Influencer,,ForeignMinister,Bitcoin Foundation Director Shrem,,dgm_crypto_handles,386bf2a75969649c20dabd0d069d118a,dgm_crypto_handles__386bf2a75969649c20dabd0d069d118a
vinnylingham,CivicKey Found Lingham,"san francisco, ca",civickey found lingham,"San Francisco, CA",Influencer,CivicKey,Consulates,CivicKey Found Lingham,,dgm_crypto_handles,4eb2e0172028aff5fa6b9cc24aefff8e,dgm_crypto_handles__4eb2e0172028aff5fa6b9cc24aefff8e
jimmysong,Bitcoin developer Song,"san francisco, ca",bitcoin developer song,"San Francisco, CA",Influencer,,Refinery,Bitcoin developer Song,,dgm_crypto_handles,dbae8d6458846b6c976c970f80476385,dgm_crypto_handles__dbae8d6458846b6c976c970f80476385
balajis,Coinbase CTO Srinivasan,"san francisco, ca",coinbase cto srinivasan,"San Francisco, CA",Influencer,Coinbase,News,Coinbase CTO Srinivasan,,dgm_crypto_handles,61b5ea9af53dd0c6ca81dc6eefab87d1,dgm_crypto_handles__61b5ea9af53dd0c6ca81dc6eefab87d1
gavinandresen,Bitcoin developer Andresen,"hampshire, ma",bitcoin developer andresen,"Hampshire, MA",Influencer,,ForeignMinister,Bitcoin developer Andresen,,dgm_crypto_handles,b961325512b6bf3e213d08e5784c4a3f,dgm_crypto_handles__b961325512b6bf3e213d08e5784c4a3f
cryptocobain,Cryptocurrency investor CryptoCobain,"london, uk",cryptocurrency investor cryptocobain,"London, UK",Influencer,,space,Cryptocurrency investor CryptoCobain,,dgm_crypto_handles,2486d83a4932e2fadf01cd1beb12aac2,dgm_crypto_handles__2486d83a4932e2fadf01cd1beb12aac2
cburniske,PlaceholderVC Partner Burniske,"san francisco, ca",placeholdervc partner burniske,"San Francisco, CA",Influencer,,ForeignMinistry,PlaceholderVC Partner Burniske,,dgm_crypto_handles,a63edafa8db14b5043b8fb2e920faf84,dgm_crypto_handles__a63edafa8db14b5043b8fb2e920faf84
tylerwinklevoss,Gemini CEO Winklevoss,"new york, ny",gemini ceo winklevoss,"New York, NY",Influencer,Gemini,IndustryTerm,Gemini CEO Winklevoss,,dgm_crypto_handles,12d4c01e1ab47e547e05276141f6b994,dgm_crypto_handles__12d4c01e1ab47e547e05276141f6b994
maxkeiser,Keiser Report Host Keiser,"new rochelle, ny",keiser report host keiser,"New Rochelle, NY",Influencer,,space,Keiser Report Host Keiser,,dgm_crypto_handles,82dd3e75608b4cb58fd9c68e7de3cba0,dgm_crypto_handles__82dd3e75608b4cb58fd9c68e7de3cba0
novogratz,Galaxy Digital CEO Novogratz,"new york, ny",galaxy digital ceo novogratz,"New York, NY",Influencer,,News,Galaxy Digital CEO Novogratz,,dgm_crypto_handles,438dccc49f853bb02434d97b448b4538,dgm_crypto_handles__438dccc49f853bb02434d97b448b4538
woonomic,Cryptocurrency researcher Woo,"san francisco, ca",cryptocurrency researcher woo,"San Francisco, CA",Influencer,Galaxy Digital,ForeignMinistry,Cryptocurrency researcher Woo,,dgm_crypto_handles,4ebe1be0b6a5e0c5dc17697144cca54a,dgm_crypto_handles__4ebe1be0b6a5e0c5dc17697144cca54a
melt_dem,CoinShares CSO Demirors,"san francisco, ca",coinshares cso demirors,"San Francisco, CA",Influencer,,CompanyKeyword,CoinShares CSO Demirors,,dgm_crypto_handles,440ab3509e7c5d749b45bf537aa8d315,dgm_crypto_handles__440ab3509e7c5d749b45bf537aa8d315
arrington,TechCrunch Founder Arrington,"san francisco, ca",techcrunch founder arrington,"San Francisco, CA",Influencer,,News,TechCrunch Founder Arrington,,dgm_crypto_handles,ca26185b0160e17640d54b1a2acab74d,dgm_crypto_handles__ca26185b0160e17640d54b1a2acab74d
fluffypony,Monero Founder Spagni,"san francisco, ca",monero founder spagni,"San Francisco, CA",Influencer,,IndustryTerm,Monero Founder Spagni,,dgm_crypto_handles,000660a3cacf21c6ad3dbf10fad1e408,dgm_crypto_handles__000660a3cacf21c6ad3dbf10fad1e408
timdraper,Investor Tim Draper,"san francisco, ca",investor tim draper,"San Francisco, CA",Influencer,,ForeignMinister,Investor Tim Draper,,dgm_crypto_handles,fca3a74056976ebd7108bdcd798325ea,dgm_crypto_handles__fca3a74056976ebd7108bdcd798325ea
excellion,Blockstream CEO Mow,"san francisco, ca",blockstream ceo mow,"San Francisco, CA",Influencer,,Wells,Blockstream CEO Mow,,dgm_crypto_handles,8336ca29da512f22dd46c1e2964443b2,dgm_crypto_handles__8336ca29da512f22dd46c1e2964443b2
jihanwu,Bitmain co-founder Wu,"bejing, china",bitmain co-founder wu,"Bejing, China",Influencer,,Person,Bitmain co-founder Wu,,dgm_crypto_handles,9ebbdba076676fb90363cf4d12b3e2c8,dgm_crypto_handles__9ebbdba076676fb90363cf4d12b3e2c8
fehrsam,Coinbase Co-Founder Ehrsam,"san francisco, ca",coinbase co-founder ehrsam,"San Francisco, CA",Influencer,Coinbase,ForeignMinistry,Coinbase Co-Founder Ehrsam,,dgm_crypto_handles,503c6948779ea0e4337d023b6bef8b96,dgm_crypto_handles__503c6948779ea0e4337d023b6bef8b96
twobitidiot,MessariCrypto Founder Selkis,"new york, ny",messaricrypto founder selkis,"New York, NY",Influencer,,LegislativeCommittee,MessariCrypto Founder Selkis,,dgm_crypto_handles,3da6a41a9e1676f136f54df7011ea221,dgm_crypto_handles__3da6a41a9e1676f136f54df7011ea221
ethereumjoseph,ConsenSys Founder Lubin,"brooklyn, ny",consensys founder lubin,"Brooklyn, NY",Influencer,ConsenSys,Consulates,ConsenSys Founder Lubin,,dgm_crypto_handles,5cb1957d0bcffa43ac29b002e3d584e3,dgm_crypto_handles__5cb1957d0bcffa43ac29b002e3d584e3
zooko,ZCash Founder Zooko,"denver, colorado",zcash founder zooko,"Denver, Colorado",Influencer,ZCash,Shipping,ZCash Founder Zooko,,dgm_crypto_handles,d6c08d367a92c790948e84e13d682194,dgm_crypto_handles__d6c08d367a92c790948e84e13d682194
iohk_charles,Cardano Founder Hoskinson,"denver, colorado",cardano founder hoskinson,"Denver, Colorado",Influencer,Cardano,ForeignMinistry,Cardano Founder Hoskinson,,dgm_crypto_handles,093924e3adeb65e13b4830ac96eefe7b,dgm_crypto_handles__093924e3adeb65e13b4830ac96eefe7b
winklevoss,Gemini Co-Founder Cameron Winklevoss,"new york, ny",gemini co-founder cameron winklevoss,"New York, NY",Influencer,,AAEntity,Gemini Co-Founder Cameron Winklevoss,,dgm_crypto_handles,2b9f62257b144b50401b8d34bd12397f,dgm_crypto_handles__2b9f62257b144b50401b8d34bd12397f
cryptomanran,CNBC Crypto Trader Host Neuner,"cape town, south africa",cnbc crypto trader host neuner,"Cape Town, South Africa",Influencer,CNBC,Refinery,CNBC Crypto Trader Host Neuner,,dgm_crypto_handles,79939b618af7eec68a47a160f13dafef,dgm_crypto_handles__79939b618af7eec68a47a160f13dafef
neerajka,Coin Center Communications Director Neeraj,"new york, ny",coin center communications director neeraj,"New York, NY",Influencer,,ForeignMinistry,Coin Center Communications Director Neeraj,,dgm_crypto_handles,c2e088c7d0d6970f6a33cd9d9ed2a115,dgm_crypto_handles__c2e088c7d0d6970f6a33cd9d9ed2a115
cryptohayes,BitMEX CEO Hayes,"seattle, wa",bitmex ceo hayes,"Seattle, WA",Influencer,BitMEX,space,BitMEX CEO Hayes,,dgm_crypto_handles,fff1f44bce09c92daf842231cbcbba63,dgm_crypto_handles__fff1f44bce09c92daf842231cbcbba63
jgarzik,Bloq Inc Co-Founder Garzik,"san francisco, ca",bloq inc co-founder garzik,"San Francisco, CA",Influencer,,ForeignMinister,Bloq Inc Co-Founder Garzik,,dgm_crypto_handles,d867a632742c45a755db6c41d85074f4,dgm_crypto_handles__d867a632742c45a755db6c41d85074f4
cremedelacrypto,Blockchain Capital Partner Bogart,"san francisco, ca",blockchain capital partner bogart,"San Francisco, CA",Influencer,,space,Blockchain Capital Partner Bogart,,dgm_crypto_handles,eb4bc2decae83165ce3302e7b7aec37e,dgm_crypto_handles__eb4bc2decae83165ce3302e7b7aec37e
brucefenton,WatchDog Capital CEO Fenton,"concord, nh",watchdog capital ceo fenton,"Concord, NH",Influencer,,Exec,WatchDog Capital CEO Fenton,,dgm_crypto_handles,7bf3467c793a1f6d657c6bdfddb3b3d0,dgm_crypto_handles__7bf3467c793a1f6d657c6bdfddb3b3d0
cryptopathic,Cryptocurrency influencer Cryptopathic,"san francisco, ca",cryptocurrency influencer cryptopathic,"San Francisco, CA",Influencer,,Consulates,Cryptocurrency influencer Cryptopathic,,dgm_crypto_handles,97a80cb8dbd79cdb2e7d328aeb8bd5ff,dgm_crypto_handles__97a80cb8dbd79cdb2e7d328aeb8bd5ff
bgarlinghouse,Ripple CEO Garlinghouse,"san francisco, ca",ripple ceo garlinghouse,"San Francisco, CA",Influencer,Ripple,Consulates,Ripple CEO Garlinghouse,,dgm_crypto_handles,53b57d86dab9d0401755d5cde2c91bc6,dgm_crypto_handles__53b57d86dab9d0401755d5cde2c91bc6
fundstrat,FundStrat Co-Founder Lee,"new york, ny",fundstrat co-founder lee,"New York, NY",Influencer,,LegislativeCommittee,FundStrat Co-Founder Lee,,dgm_crypto_handles,f18ab7d28935323b8b3c8defa150d339,dgm_crypto_handles__f18ab7d28935323b8b3c8defa150d339
raoulgmi,RealVision CEO Pal,"london, uk",realvision ceo pal,"London, UK",Influencer,,space,RealVision CEO Pal,,dgm_crypto_handles,ba3482b3aef49ca0d87499cd056e1c66,dgm_crypto_handles__ba3482b3aef49ca0d87499cd056e1c66
zhusu,Three Arrows Capital CEO Zhu Su,"san francisco, ca",three arrows capital ceo zhu su,"San Francisco, CA",Influencer,,Organization,Three Arrows Capital CEO Zhu Su,,dgm_crypto_handles,828286067d7833151eedc9b0ddb66280,dgm_crypto_handles__828286067d7833151eedc9b0ddb66280
elonmusk,Tesla CEO Musk,"san francisco, ca",tesla ceo musk,"San Francisco, CA",Influencer,Tesla,Legislator,Tesla CEO Musk,,dgm_crypto_handles,aa016f55dff763ff6631760642aa6f9e,dgm_crypto_handles__aa016f55dff763ff6631760642aa6f9e
sbf_ftx,FTX CEO Bankman-Fried,"miami, fl",ftx ceo bankman-fried,"Miami, FL",Influencer,FTX Exchange,IndustryTerm,FTX CEO Bankman-Fried,,dgm_crypto_handles,66d2957e916e9025326d50e46662f19a,dgm_crypto_handles__66d2957e916e9025326d50e46662f19a
jerallaire,Circle CEO Allaire,"boston, ma",circle ceo allaire,"Boston, MA",Influencer,,ForeignMinister,Circle CEO Allaire,,dgm_crypto_handles,2ada3b73549a542018548a09f0390af3,dgm_crypto_handles__2ada3b73549a542018548a09f0390af3
adam3us,Cryptocurrency developer Back,"valletta, malta",cryptocurrency developer back,"Valletta, Malta",Influencer,,LegislativeCommittee,Cryptocurrency developer Back,,dgm_crypto_handles,705d4add3857acba2e5106629d06b241,dgm_crypto_handles__705d4add3857acba2e5106629d06b241
jack,Twitter CEO Dorsey,"san francisco, ca",twitter ceo dorsey,"San Francisco, CA",Influencer,"Twitter, Square",Organization,Twitter CEO Dorsey,,dgm_crypto_handles,2b71c3af354848c2ea8ef7b07e5b113e,dgm_crypto_handles__2b71c3af354848c2ea8ef7b07e5b113e
stevenacohen2,Point72 Founder Cohen,"greenwich, ct",point72 founder cohen,"Greenwich, CT",Hedge Fund Manager,"New York Mets, Point72",Refinery,Point72 Founder Cohen,,dgm_crypto_handles,8f43b94f3cd59d7f33a3db269f4148a5,dgm_crypto_handles__8f43b94f3cd59d7f33a3db269f4148a5
raydalio,Bridgewater Associates Founder Dalio,"new york, ny",bridgewater associates founder dalio,"New York, NY",Hedge Fund Manager,,Keyphrase,Bridgewater Associates Founder Dalio,,dgm_crypto_handles,596d2ab34d59d2a810cf6abcd9081c85,dgm_crypto_handles__596d2ab34d59d2a810cf6abcd9081c85
ptj_official,Tudor Investment Corporate Founder Paul Tudor Jones,"new york, ny",tudor investment corporate founder paul tudor jones,"New York, NY",Hedge Fund Manager,,LegislativeCommittee,Tudor Investment Corporate Founder Paul Tudor Jones,,dgm_crypto_handles,7c75fcf4b7efca93bb8b3349a3e355d4,dgm_crypto_handles__7c75fcf4b7efca93bb8b3349a3e355d4
carl_c_icahn,Icahn Enterprises Chairman Carl Icahn,"new york, ny",icahn enterprises chairman carl icahn,"New York, NY",Hedge Fund Manager,,News,Icahn Enterprises Chairman Carl Icahn,,dgm_crypto_handles,08cc9cfdff47b320627f9e6ee36d9098,dgm_crypto_handles__08cc9cfdff47b320627f9e6ee36d9098
petercwarren,Warren Capital Founder Peter Warren,"oslo, norway",warren capital founder peter warren,"Oslo, Norway",Hedge Fund Manager,,space,Warren Capital Founder Peter Warren,,dgm_crypto_handles,35bf9e280f89174f75f0a1fdc0e50e1f,dgm_crypto_handles__35bf9e280f89174f75f0a1fdc0e50e1f
mark_dow,Dow Global Advisors Founder Mark Dow,"laguna beach, ca",dow global advisors founder mark dow,"Laguna Beach, CA",Hedge Fund Manager,,Consulates,Dow Global Advisors Founder Mark Dow,,dgm_crypto_handles,9de809e8846ecda50c770f71881810ee,dgm_crypto_handles__9de809e8846ecda50c770f71881810ee
billackman,Pershing Square Capital Management CEO Ackman,"new york, ny",pershing square capital management ceo ackman,"New York, NY",Hedge Fund Manager,,Keyphrase,Pershing Square Capital Management CEO Ackman,,dgm_crypto_handles,6a68477ca667921bfb9f692c0e05afd4,dgm_crypto_handles__6a68477ca667921bfb9f692c0e05afd4
davidein,Greenlight Capitl President Einhorn,"new york, ny",greenlight capitl president einhorn,"New York, NY",Hedge Fund Manager,,Diplomat,Greenlight Capitl President Einhorn,,dgm_crypto_handles,e6c90d20714b6e569327d4c171737167,dgm_crypto_handles__e6c90d20714b6e569327d4c171737167
scaramucci,Skybridge Investments Founder Scaramucci,"long island, ny",skybridge investments founder scaramucci,"Long Island, NY",Hedge Fund Manager,,LegislativeCommittee,Skybridge Investments Founder Scaramucci,,dgm_crypto_handles,2e7c479d7fbea4b80a62166fd0fb47e1,dgm_crypto_handles__2e7c479d7fbea4b80a62166fd0fb47e1
bergencapital,Bergen Capital Founder Mike Bergen,"new york, ny",bergen capital founder mike bergen,"New York, NY",Hedge Fund Manager,,Keyphrase,Bergen Capital Founder Mike Bergen,,dgm_crypto_handles,40b255973c49c5841764ebaa76b85028,dgm_crypto_handles__40b255973c49c5841764ebaa76b85028
nic__carter,Cryptocurrency Analyst Nic Carter,"new york, ny",cryptocurrency analyst nic carter,"New York, NY",Cryptocurrency Analyst,,IndustryTerm,Cryptocurrency Analyst Nic Carter,,dgm_crypto_handles,aa04f50bddb110b837eab16d6844bc14,dgm_crypto_handles__aa04f50bddb110b837eab16d6844bc14
tonevays,Cryptocurrency Analyst Tone Vays,"las vegas, nv",cryptocurrency analyst tone vays,"Las Vegas, NV",Cryptocurrency Analyst,,ForeignMinister,Cryptocurrency Analyst Tone Vays,,dgm_crypto_handles,e22139ba1909cac0fdd96fee7bba1a15,dgm_crypto_handles__e22139ba1909cac0fdd96fee7bba1a15
venturecoinist,Cryptocurrency Analyst Luke Martin,"seattle, wa",cryptocurrency analyst luke martin,"Seattle, WA",Cryptocurrency Analyst,,DiplomaticFacilities,Cryptocurrency Analyst Luke Martin,,dgm_crypto_handles,a7c9d33a30ad5bc4bece1f05604fc1f3,dgm_crypto_handles__a7c9d33a30ad5bc4bece1f05604fc1f3
peterlbrandt,Investor Peter Brandt,"scotsdale, az",investor peter brandt,"Scotsdale, AZ",Cryptocurrency Analyst,,CompanyKeyword,Investor Peter Brandt,,dgm_crypto_handles,11b275c59566f8a8ea340b1c87beffe1,dgm_crypto_handles__11b275c59566f8a8ea340b1c87beffe1
travis_kling,Cryptocurrency Investor Travis Kling,"new york, ny",cryptocurrency investor travis kling,"New York, NY",Cryptocurrency Analyst,,Keyphrase,Cryptocurrency Investor Travis Kling,,dgm_crypto_handles,cc97bba200c359b9409400dd3db735f6,dgm_crypto_handles__cc97bba200c359b9409400dd3db735f6
muststopmurad,Cryptocurrency Investor Murad Mahmudov,"san francisco, ca",cryptocurrency investor murad mahmudov,"San Francisco, CA",Cryptocurrency Analyst,,Person,Cryptocurrency Investor Murad Mahmudov,,dgm_crypto_handles,5bac95fa371252d111d1a28da9951c69,dgm_crypto_handles__5bac95fa371252d111d1a28da9951c69
carpenoctom,Cryptocurrency Investor Josh Olszewicz,"san francisco, ca",cryptocurrency investor josh olszewicz,"San Francisco, CA",Cryptocurrency Analyst,,IndustryTerm,Cryptocurrency Investor Josh Olszewicz,,dgm_crypto_handles,b5f4b6b247f7ceff36a0a89e4e4e838f,dgm_crypto_handles__b5f4b6b247f7ceff36a0a89e4e4e838f
martybent,Bitcoin Investor Marty Bent,"san francisco, ca",bitcoin investor marty bent,"San Francisco, CA",Cryptocurrency Analyst,,ForeignMinistry,Bitcoin Investor Marty Bent,,dgm_crypto_handles,ec89d46dfa99fba6031e78d67d2cc3bf,dgm_crypto_handles__ec89d46dfa99fba6031e78d67d2cc3bf
100trillionusd,Bitcoin Personality Plan B,"san francisco, ca",bitcoin personality plan b,"San Francisco, CA",Cryptocurrency Analyst,,Organization,Bitcoin Personality Plan B,,dgm_crypto_handles,c6e504d8217d1cc93f91d4c1418583f3,dgm_crypto_handles__c6e504d8217d1cc93f91d4c1418583f3
opensea,OpenSea,"san francisco, ca",opensea,"San Francisco, CA",NFT Platform,,Refinery,OpenSea,,dgm_crypto_handles,c66c7f48ebd8a4287d879b26995a5edc,dgm_crypto_handles__c66c7f48ebd8a4287d879b26995a5edc
