vksource,vkcaption,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
mil,Russian Defense Ministry,ForeignMinister,Russian Defense Ministry,,dgm_russianvksources,9a4ddd287d060aa690d105cdf3547f38,dgm_russianvksources__9a4ddd287d060aa690d105cdf3547f38
dnr_sckk,Self-proclaimed Donetsk People's Republic,Exec,Self-proclaimed Donetsk People's Republic,,dgm_russianvksources,84d47c509f159e7c528a8bd49bd3e55f,dgm_russianvksources__84d47c509f159e7c528a8bd49bd3e55f
tvzvezda,Russian Defense Ministry network Zvezda,Organization,Russian Defense Ministry network Zvezda,,dgm_russianvksources,933bdaff2120705aa1496cade23b0c0b,dgm_russianvksources__933bdaff2120705aa1496cade23b0c0b
mchs__russia,Russian Emergency Situations Ministry,Keyphrase,Russian Emergency Situations Ministry,,dgm_russianvksources,7e03f4814e6dade923b5d07a4ba2c3a1,dgm_russianvksources__7e03f4814e6dade923b5d07a4ba2c3a1
rosgvard_official,Russian National Guard,Exec,Russian National Guard,,dgm_russianvksources,5c003ae07f2a39d747336f4ecb7f54d0,dgm_russianvksources__5c003ae07f2a39d747336f4ecb7f54d0
opoveshenie,Russia-backed separatists,Refinery,Russia-backed separatists,,dgm_russianvksources,adb0c12fca03dfa37157421d45ed53f4,dgm_russianvksources__adb0c12fca03dfa37157421d45ed53f4
millnr,Self-proclaimed Luhansk People's Republic,News,Self-proclaimed Luhansk People's Republic,,dgm_russianvksources,dcb0c9fbe3243c3b4b2b3affbf2d07d3,dgm_russianvksources__dcb0c9fbe3243c3b4b2b3affbf2d07d3
ramzan,Chechen Leader Kadyrov,Person,Chechen Leader Kadyrov,,dgm_russianvksources,52ab09a3d8ece9000275ef792d1ba1fb,dgm_russianvksources__52ab09a3d8ece9000275ef792d1ba1fb
andreyvorobiev,Governor of Moscow Oblast Vorobyev,Pipeline,Governor of Moscow Oblast Vorobyev,,dgm_russianvksources,b56bf88140a46fd57bb3ca83b97c0ae4,dgm_russianvksources__b56bf88140a46fd57bb3ca83b97c0ae4
mossobyanin,"Mayor of Moscow, Russia Sobyanin",Person,"Mayor of Moscow, Russia Sobyanin",,dgm_russianvksources,5e5ab7728820cca66f7b34d620bac2f3,dgm_russianvksources__5e5ab7728820cca66f7b34d620bac2f3
gov,Russian Government,Person,Russian Government,,dgm_russianvksources,194878e152e9038cd0b5642b61aade75,dgm_russianvksources__194878e152e9038cd0b5642b61aade75
roscosmos,Roscosmos,Wells,Roscosmos,,dgm_russianvksources,d5bea17c8acfaf5459ccddb2c29db812,dgm_russianvksources__d5bea17c8acfaf5459ccddb2c29db812
ria,RIA,News,RIA,,dgm_russianvksources,5d9ff6a26baf756aa9975ab25a9f47f8,dgm_russianvksources__5d9ff6a26baf756aa9975ab25a9f47f8
tassagency,TASS,Diplomat,TASS,,dgm_russianvksources,f36093a861d5aaaa9e1031109b99b608,dgm_russianvksources__f36093a861d5aaaa9e1031109b99b608
rgru,Rossiskaya Gazeta,Consulates,Rossiskaya Gazeta,,dgm_russianvksources,ef7731b1bd0e6a7cd3f1194bd04368c7,dgm_russianvksources__ef7731b1bd0e6a7cd3f1194bd04368c7
mid,Russian Foreign Ministry,News,Russian Foreign Ministry,,dgm_russianvksources,a7534b654a49241f0c160e7c43cbadee,dgm_russianvksources__a7534b654a49241f0c160e7c43cbadee
dm,Deputy Chairman of Russian Security Council Medvedev,Pipeline,Deputy Chairman of Russian Security Council Medvedev,,dgm_russianvksources,d4b7a95b341ee595e26ffccaf8b2ac4c,dgm_russianvksources__d4b7a95b341ee595e26ffccaf8b2ac4c
izvestia,Izvestia,Shipping,Izvestia,,dgm_russianvksources,d785ad51918b9e2c66ee86f68054a2a5,dgm_russianvksources__d785ad51918b9e2c66ee86f68054a2a5
kommersant_ru,Kommersant,News,Kommersant,,dgm_russianvksources,fda6749f4b59a7a9fe6dc18e4c1ca8c0,dgm_russianvksources__fda6749f4b59a7a9fe6dc18e4c1ca8c0
mvd,Russian Internal Affairs Ministry,Refinery,Russian Internal Affairs Ministry,,dgm_russianvksources,43462a2429de2184ddf6640afaf0ff3e,dgm_russianvksources__43462a2429de2184ddf6640afaf0ff3e
minzdravru,Russian Health Ministry,Refinery,Russian Health Ministry,,dgm_russianvksources,c456b63a563dad12201548ce80d3b14b,dgm_russianvksources__c456b63a563dad12201548ce80d3b14b
minkultury_rf,Russian Culture Ministry,DiplomaticFacilities,Russian Culture Ministry,,dgm_russianvksources,9ec1e7d2111103945081e8195f427b8d,dgm_russianvksources__9ec1e7d2111103945081e8195f427b8d
minobrnauki,Russian Education and Science Ministry,Wells,Russian Education and Science Ministry,,dgm_russianvksources,f90890f679e320beea74f60445bc9ccb,dgm_russianvksources__f90890f679e320beea74f60445bc9ccb
minpromtorgrus,Russian Industry and Trade Ministry,Consulates,Russian Industry and Trade Ministry,,dgm_russianvksources,165b3bb3812495efcfc3aa2ff4459045,dgm_russianvksources__165b3bb3812495efcfc3aa2ff4459045
minselhoz,Russian Agriculture Ministry,Person,Russian Agriculture Ministry,,dgm_russianvksources,413ce1bddc2f0fe7782b8d9471dbd316,dgm_russianvksources__413ce1bddc2f0fe7782b8d9471dbd316
minsportrf,Russian Sport Ministry,AAEntity,Russian Sport Ministry,,dgm_russianvksources,5acc1b4aad4c59a1cf68b2e5cf6312aa,dgm_russianvksources__5acc1b4aad4c59a1cf68b2e5cf6312aa
minstroyrfofficial,Russian Construction Ministry,Person,Russian Construction Ministry,,dgm_russianvksources,6ad92f740f5f43a4dd2deedf016f6b95,dgm_russianvksources__6ad92f740f5f43a4dd2deedf016f6b95
mintransrussia,Russian Transport Ministry,Diplomat,Russian Transport Ministry,,dgm_russianvksources,a0f2347891fdff0d7b5ad8aed49cb6b2,dgm_russianvksources__a0f2347891fdff0d7b5ad8aed49cb6b2
mintrudrf,Russian Labor and Social Development Ministry,Media,Russian Labor and Social Development Ministry,,dgm_russianvksources,0bdde8449fe8d2f5f25fd5c0e643e1bf,dgm_russianvksources__0bdde8449fe8d2f5f25fd5c0e643e1bf
ruminfin,Russian Finance Ministry,ForeignMinistry,Russian Finance Ministry,,dgm_russianvksources,668bd6a9bb6392cbf22acc4637bc5059,dgm_russianvksources__668bd6a9bb6392cbf22acc4637bc5059
ministryeconomy,Russian Economic Development Ministry,LegislativeCommittee,Russian Economic Development Ministry,,dgm_russianvksources,2cf34ef19cb62f89cb69fb7f59cf1925,dgm_russianvksources__2cf34ef19cb62f89cb69fb7f59cf1925
minenergo_rf,Russian Energy Ministry,FTO,Russian Energy Ministry,,dgm_russianvksources,ff438bf7e839b458e40b669eabbcba42,dgm_russianvksources__ff438bf7e839b458e40b669eabbcba42
balakovo_city,Balakovo 24,Refinery,Balakovo 24,,dgm_russianvksources,45e70c28f4c577d8f41865f579ef1177,dgm_russianvksources__45e70c28f4c577d8f41865f579ef1177
public118981917,Press Service Administration of Zarechny,Consulates,Press Service Administration of Zarechny,,dgm_russianvksources,dbe1c7e39f9660d3f03d49509064def7,dgm_russianvksources__dbe1c7e39f9660d3f03d49509064def7
bilibinskiy_raion,Bilibino District Administration,CompanyKeyword,Bilibino District Administration,,dgm_russianvksources,148d2762ecef4fa1b8c56fffa222939c,dgm_russianvksources__148d2762ecef4fa1b8c56fffa222939c
pravdann,Nizhegorodskaya Pravda,CompanyKeyword,Nizhegorodskaya Pravda,,dgm_russianvksources,b705440d0d622977a0d830ee77b5c449,dgm_russianvksources__b705440d0d622977a0d830ee77b5c449
publicpodslushanovudomle,Overhead in Udomlya,IndustryTerm,Overhead in Udomlya,,dgm_russianvksources,35e0014ec3618088c3cb878c034e306f,dgm_russianvksources__35e0014ec3618088c3cb878c034e306f
neman_gov39,Administration of Neman Urban District,Person,Administration of Neman Urban District,,dgm_russianvksources,97b8aba3884b9c9a0ff28fce3d4393f3,dgm_russianvksources__97b8aba3884b9c9a0ff28fce3d4393f3
pznews,News Polyarnye Zori,DiplomaticFacilities,News Polyarnye Zori,,dgm_russianvksources,c1d6c988ee44118603d919fbfda1fa9c,dgm_russianvksources__c1d6c988ee44118603d919fbfda1fa9c
k1news_ru,K1 News,Organization,K1 News,,dgm_russianvksources,10dbd76ff72b5751412f1c37da98ed79,dgm_russianvksources__10dbd76ff72b5751412f1c37da98ed79
gtrkkursk,State TV and Radio Company Kursk,DiplomaticFacilities,State TV and Radio Company Kursk,,dgm_russianvksources,23ba6d6c8c55472b37276d121812670c,dgm_russianvksources__23ba6d6c8c55472b37276d121812670c
mayaksbor,Mayak Sosnovy Bor,IndustryTerm,Mayak Sosnovy Bor,,dgm_russianvksources,9fd4faf05d39a49d774e368c8df1ebd8,dgm_russianvksources__9fd4faf05d39a49d774e368c8df1ebd8
nvktv,Novovoronezh KTB,CompanyKeyword,Novovoronezh KTB,,dgm_russianvksources,7bfd58e101a0161837b0267acb88e0d0,dgm_russianvksources__7bfd58e101a0161837b0267acb88e0d0
newsyktru,News.Ykt.Ru,Refinery,News.Ykt.Ru,,dgm_russianvksources,449927673f4424a96a1d8835b81b94d7,dgm_russianvksources__449927673f4424a96a1d8835b81b94d7
vseverske_info,In Seversk,ForeignMinister,In Seversk,,dgm_russianvksources,a5b248a4e7b4266f0ebf34d6a8d29da6,dgm_russianvksources__a5b248a4e7b4266f0ebf34d6a8d29da6
overhear_des,Overheard Desnogorsk,Shipping,Overheard Desnogorsk,,dgm_russianvksources,5352de5a0283b9184396df8bba527239,dgm_russianvksources__5352de5a0283b9184396df8bba527239
club36053190,What Smolensk is Talking About,Consulates,What Smolensk is Talking About,,dgm_russianvksources,10c6939c304377f70a0a456fcb293d90,dgm_russianvksources__10c6939c304377f70a0a456fcb293d90
public97547759,Kamskie Polyany,Person,Kamskie Polyany,,dgm_russianvksources,c7ef4bca7ada3a34d07b4967dbc70b06,dgm_russianvksources__c7ef4bca7ada3a34d07b4967dbc70b06
riavrn,News of Voronezh,AAEntity,News of Voronezh,,dgm_russianvksources,c16778aca6f9fc5d2caff93f5dc37a71,dgm_russianvksources__c16778aca6f9fc5d2caff93f5dc37a71
chernobylgroup,Chernobyl Pripyat Community Page,Keyphrase,Chernobyl Pripyat Community Page,,dgm_russianvksources,3631977af3960899b98cca050119761e,dgm_russianvksources__3631977af3960899b98cca050119761e
public39986172,Astravets Pravda,Exec,Astravets Pravda,,dgm_russianvksources,2620b8293ea065028be64717c5b3b91b,dgm_russianvksources__2620b8293ea065028be64717c5b3b91b
news_of_novorossiysk,Super Novorossiysk News,IndustryTerm,Super Novorossiysk News,,dgm_russianvksources,e921160399820dfb05bf8ef078d7d7a6,dgm_russianvksources__e921160399820dfb05bf8ef078d7d7a6
tv21_life,TV-21,ForeignMinister,TV-21,,dgm_russianvksources,0c6792a183e5cc02ccff4bd4a2aad017,dgm_russianvksources__0c6792a183e5cc02ccff4bd4a2aad017
riavrn,RIA Voronezh,LegislativeCommittee,RIA Voronezh,,dgm_russianvksources,3d18ca950015920e1a928b01727e2d20,dgm_russianvksources__3d18ca950015920e1a928b01727e2d20
shelkovoinform,Vremya newspaper,News,Vremya newspaper,,dgm_russianvksources,f3da4fe68122d00b705e395712ac1bb0,dgm_russianvksources__f3da4fe68122d00b705e395712ac1bb0
primamediaru,PrimaMedia,Keyphrase,PrimaMedia,,dgm_russianvksources,0ffde07345557ed66f06c98e96a91bca,dgm_russianvksources__0ffde07345557ed66f06c98e96a91bca
club24597594,7 News,Keyphrase,7 News,,dgm_russianvksources,3a0b831e8a9c40468a9f2b90a4ae9c58,dgm_russianvksources__3a0b831e8a9c40468a9f2b90a4ae9c58
club10231784,Vesti-Buryatiya,IndustryTerm,Vesti-Buryatiya,,dgm_russianvksources,fb86f9e6205ecfd7d81e4d03b7476797,dgm_russianvksources__fb86f9e6205ecfd7d81e4d03b7476797
moyoivanovo,Ivanovo,Pipeline,Ivanovo,,dgm_russianvksources,291da81c7a08c3ac061549c1e3c595df,dgm_russianvksources__291da81c7a08c3ac061549c1e3c595df
5kanalnews,Kansk Channel 5,FTO,Kansk Channel 5,,dgm_russianvksources,7f5aa3bd0b76decd199eccb51b41b053,dgm_russianvksources__7f5aa3bd0b76decd199eccb51b41b053
public29148009,Tula News,Exec,Tula News,,dgm_russianvksources,463ce7945bf48460d7bbf01d3fe31af5,dgm_russianvksources__463ce7945bf48460d7bbf01d3fe31af5
ura_ru,Ura.ru,Media,Ura.ru,,dgm_russianvksources,68c36c50f1043d20a1dc4a0c9ed41777,dgm_russianvksources__68c36c50f1043d20a1dc4a0c9ed41777
ilovekubinka,Kubinka Today,Legislator,Kubinka Today,,dgm_russianvksources,7d0566172ef71b58b3620302af0cc6d7,dgm_russianvksources__7d0566172ef71b58b3620302af0cc6d7
gazeta.vyborg,Vyborg Magazine,FTO,Vyborg Magazine,,dgm_russianvksources,ce4ebf1dd667b96ef6b8dd1f4e294c85,dgm_russianvksources__ce4ebf1dd667b96ef6b8dd1f4e294c85
public23684992,City 48,Exec,City 48,,dgm_russianvksources,70a6f92422f334afe5dfd5d46b2ff4ba,dgm_russianvksources__70a6f92422f334afe5dfd5d46b2ff4ba
rk_karelia,Respublika,Exec,Respublika,,dgm_russianvksources,6738d4f299efc49887290042cf5a4ee5,dgm_russianvksources__6738d4f299efc49887290042cf5a4ee5
michurinsk68_ru,Michurinsk.ru,Diplomat,Michurinsk.ru,,dgm_russianvksources,778936c81a7bfff163488c7abfcf4d63,dgm_russianvksources__778936c81a7bfff163488c7abfcf4d63
komiinform,Kominform,ForeignMinistry,Kominform,,dgm_russianvksources,d37d1a925e6654142606809a6b7db8e9,dgm_russianvksources__d37d1a925e6654142606809a6b7db8e9
pravdinsk_39,Overheard in Pravdinsk,FTO,Overheard in Pravdinsk,,dgm_russianvksources,d2d5be72dc0496e3f1bb7ebb3dd79f43,dgm_russianvksources__d2d5be72dc0496e3f1bb7ebb3dd79f43
arhangelsk_29,29.ru,IndustryTerm,29.ru,,dgm_russianvksources,42a59b80c37eca3d9e52d2ad57b5e3b2,dgm_russianvksources__42a59b80c37eca3d9e52d2ad57b5e3b2
myshaykovka,Shaykovka,CompanyKeyword,Shaykovka,,dgm_russianvksources,fc47e8546066ac9d295ef66dce0e2106,dgm_russianvksources__fc47e8546066ac9d295ef66dce0e2106
vk_chita_ru,Chita.ru,IndustryTerm,Chita.ru,,dgm_russianvksources,5f1f29c079aaed796dae8a85edf387bc,dgm_russianvksources__5f1f29c079aaed796dae8a85edf387bc
air_oreshkovo,Aerodrom Oreshkovo,Pipeline,Aerodrom Oreshkovo,,dgm_russianvksources,ec4c61a5372308a154880b3551952d07,dgm_russianvksources__ec4c61a5372308a154880b3551952d07
kaliningradru,Kaliningrad.ru,FTO,Kaliningrad.ru,,dgm_russianvksources,1a73b2ca6a75ddc430dc798da178befb,dgm_russianvksources__1a73b2ca6a75ddc430dc798da178befb
fontanka,Fontanka,Diplomat,Fontanka,,dgm_russianvksources,86c354f06c58ac6654498e7aee4c8cd1,dgm_russianvksources__86c354f06c58ac6654498e7aee4c8cd1
club1205247,Pskov News Feed,Wells,Pskov News Feed,,dgm_russianvksources,72cc159bace48000cd726a71944038cf,dgm_russianvksources__72cc159bace48000cd726a71944038cf
severomorskie_vesti,Severomorskie Vesti,Refinery,Severomorskie Vesti,,dgm_russianvksources,6deca8284f71c7e927e6c4e04dea9e83,dgm_russianvksources__6deca8284f71c7e927e6c4e04dea9e83
sakh_com,Sakhalin.info,Diplomat,Sakhalin.info,,dgm_russianvksources,15092107c4cbbe23c65349b76c2f523a,dgm_russianvksources__15092107c4cbbe23c65349b76c2f523a
tatishevomr,Tatishchevo region,Exec,Tatishchevo region,,dgm_russianvksources,4f8482b78be76e0c5c6440f99d2cb8b1,dgm_russianvksources__4f8482b78be76e0c5c6440f99d2cb8b1
asiaplus,AsiaPlus,Organization,AsiaPlus,,dgm_russianvksources,2bf4b07747a9098daba5ffcf9ee0b3ba,dgm_russianvksources__2bf4b07747a9098daba5ffcf9ee0b3ba
armavir_news,Accidents Armavir,Organization,Accidents Armavir,,dgm_russianvksources,7aafc904f16d506ed6b9077f16d97570,dgm_russianvksources__7aafc904f16d506ed6b9077f16d97570
ia_kam24,Max Novosti-Kamchatki,Diplomat,Max Novosti-Kamchatki,,dgm_russianvksources,f228676166a26fb76ea64fdd0473c886,dgm_russianvksources__f228676166a26fb76ea64fdd0473c886
forpost_sev,ForPost,Person,ForPost,,dgm_russianvksources,0e9b8e09c487e365f208a2443a20ed94,dgm_russianvksources__0e9b8e09c487e365f208a2443a20ed94
news161,161.ru,Media,161.ru,,dgm_russianvksources,b23a0af2c97444305cb6a1447de0b0f9,dgm_russianvksources__b23a0af2c97444305cb6a1447de0b0f9
nfedorovka,Novofedorovka,Media,Novofedorovka,,dgm_russianvksources,6afa8c9249454c9462fbc2f0a94ddd1a,dgm_russianvksources__6afa8c9249454c9462fbc2f0a94ddd1a
news47rus,47news,Diplomat,47news,,dgm_russianvksources,47c4b1a3615699422dc155c2e38e6b0d,dgm_russianvksources__47c4b1a3615699422dc155c2e38e6b0d
inform69ru,inform69,Wells,inform69,,dgm_russianvksources,90bfba537218fba92965e615dbbd6392,dgm_russianvksources__90bfba537218fba92965e615dbbd6392
gorod24.online,City24,FTO,City24,,dgm_russianvksources,e9367ae9d2f3ab96a9d3b5c188470d5a,dgm_russianvksources__e9367ae9d2f3ab96a9d3b5c188470d5a
asn24,ASN24,space,ASN24,,dgm_russianvksources,27d90c209e6d846d577e6350296c77c6,dgm_russianvksources__27d90c209e6d846d577e6350296c77c6