keyword,caption_name,lat,lon,location_name,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
張國鈞,Hong Kong legislative candidate Horace Cheung,22.302711,114.177216,Hong Kong,188369,Shipping,Hong Kong legislative candidate Horace Cheung,,hk_ei_terms,9b0dd1e8df8693425b848c888aaa57a7,hk_ei_terms__9b0dd1e8df8693425b848c888aaa57a7
蔣麗芸,Hong Kong legislative candidate Ann Chiang,22.302711,114.177216,Hong Kong,188369,Exec,Hong Kong legislative candidate Ann Chiang,,hk_ei_terms,f391ee6402b69d0d68b0e5957cc2afbe,hk_ei_terms__f391ee6402b69d0d68b0e5957cc2afbe
鄭泳舜,Hong Kong legislative candidate Vincent Cheng Wing-shun,22.302711,114.177216,Hong Kong,188369,space,Hong Kong legislative candidate Vincent Cheng Wing-shun,,hk_ei_terms,3edf71e388f34bb7f52bb9c7f4f706e1,hk_ei_terms__3edf71e388f34bb7f52bb9c7f4f706e1
柯創盛,Hong Kong legislative candidate Wilson Or Chong-shing,22.302711,114.177216,Hong Kong,188369,Shipping,Hong Kong legislative candidate Wilson Or Chong-shing,,hk_ei_terms,7ad16226269f1e116e098ec7f0ba864d,hk_ei_terms__7ad16226269f1e116e098ec7f0ba864d
陳恒鑌,Hong Kong legislative candidate Ben Chan,22.302711,114.177216,Hong Kong,188369,Consulates,Hong Kong legislative candidate Ben Chan,,hk_ei_terms,e14d8a7a81389af0f4495fb6579dabca,hk_ei_terms__e14d8a7a81389af0f4495fb6579dabca
梁志祥,Hong Kong legislative candidate Leung Che-cheung,22.302711,114.177216,Hong Kong,188369,ForeignMinistry,Hong Kong legislative candidate Leung Che-cheung,,hk_ei_terms,07103dac09d576c45f0ebebdc2c92664,hk_ei_terms__07103dac09d576c45f0ebebdc2c92664
陳克勤,Hong Kong legislative candidate Gary Chan,22.302711,114.177216,Hong Kong,188369,IndustryTerm,Hong Kong legislative candidate Gary Chan,,hk_ei_terms,829897f280a1dffb3f8558249c1a776f,hk_ei_terms__829897f280a1dffb3f8558249c1a776f
葛珮帆,Hong Kong legislative candidate Elizabeth Quat,22.302711,114.177216,Hong Kong,188369,Consulates,Hong Kong legislative candidate Elizabeth Quat,,hk_ei_terms,ea0593127a062b262213723b8f346759,hk_ei_terms__ea0593127a062b262213723b8f346759
何俊賢,Hong Kong legislative candidate Steven Ho,22.302711,114.177216,Hong Kong,188369,CompanyKeyword,Hong Kong legislative candidate Steven Ho,,hk_ei_terms,e1e66b689915ede178204aafa2a47199,hk_ei_terms__e1e66b689915ede178204aafa2a47199
黃定光,Hong Kong legislative candidate Wong Ting-kwong,22.302711,114.177216,Hong Kong,188369,CompanyKeyword,Hong Kong legislative candidate Wong Ting-kwong,,hk_ei_terms,24b6e63b0ad52e774a534ca40fcb6b12,hk_ei_terms__24b6e63b0ad52e774a534ca40fcb6b12
劉國勳,Hong Kong legislative candidate Lau Kwok-fan,22.302711,114.177216,Hong Kong,188369,LegislativeCommittee,Hong Kong legislative candidate Lau Kwok-fan,,hk_ei_terms,d4dc2ce16a59eaab0c53758dee379742,hk_ei_terms__d4dc2ce16a59eaab0c53758dee379742
李慧琼,Hong Kong legislative candidate Starry Lee,22.302711,114.177216,Hong Kong,188369,Exec,Hong Kong legislative candidate Starry Lee,,hk_ei_terms,68eb7cc2ff0498ee440431eb67301a45,hk_ei_terms__68eb7cc2ff0498ee440431eb67301a45
周浩鼎,Hong Kong legislative candidate Holden Chow,22.302711,114.177216,Hong Kong,188369,Pipeline,Hong Kong legislative candidate Holden Chow,,hk_ei_terms,110d819d9e188591240a631ba2cdf183,hk_ei_terms__110d819d9e188591240a631ba2cdf183
梁君彥,Hong Kong legislative candidate Andrew Leung,22.302711,114.177216,Hong Kong,188369,AAEntity,Hong Kong legislative candidate Andrew Leung,,hk_ei_terms,345c07b625258e71448276f616dd66fd,hk_ei_terms__345c07b625258e71448276f616dd66fd
吳永嘉,Hong Kong legislative candidate Ng Wing-ka,22.302711,114.177216,Hong Kong,188369,space,Hong Kong legislative candidate Ng Wing-ka,,hk_ei_terms,fc9c006e87818d423226a3f97ccccbc6,hk_ei_terms__fc9c006e87818d423226a3f97ccccbc6
林健鋒,Hong Kong legislative candidate Jeffrey Lam,22.302711,114.177216,Hong Kong,188369,Refinery,Hong Kong legislative candidate Jeffrey Lam,,hk_ei_terms,70773b0a46b49d2633aa93929d16f175,hk_ei_terms__70773b0a46b49d2633aa93929d16f175
劉業強,Hong Kong legislative candidate Kenneth Lau,22.302711,114.177216,Hong Kong,188369,Keyphrase,Hong Kong legislative candidate Kenneth Lau,,hk_ei_terms,2c98618c6342d636b74c9d081eca5d52,hk_ei_terms__2c98618c6342d636b74c9d081eca5d52
張華峰,Hong Kong legislative candidate Christopher Cheung,22.302711,114.177216,Hong Kong,188369,Diplomat,Hong Kong legislative candidate Christopher Cheung,,hk_ei_terms,d1e9d5658de24eb619a911141304fe15,hk_ei_terms__d1e9d5658de24eb619a911141304fe15
石禮謙,Hong Kong legislative candidate Abraham Shek,22.302711,114.177216,Hong Kong,188369,Exec,Hong Kong legislative candidate Abraham Shek,,hk_ei_terms,8e1ca0344a2134548e0c93af9fbd0134,hk_ei_terms__8e1ca0344a2134548e0c93af9fbd0134
盧偉國,Hong Kong legislative candidate Lo Wai-kwok,22.302711,114.177216,Hong Kong,188369,DiplomaticFacilities,Hong Kong legislative candidate Lo Wai-kwok,,hk_ei_terms,31f6ff4619285df6935a4490a3ca9435,hk_ei_terms__31f6ff4619285df6935a4490a3ca9435
梁美芬,Hong Kong legislative candidate Priscilla Leung,22.302711,114.177216,Hong Kong,188369,Legislator,Hong Kong legislative candidate Priscilla Leung,,hk_ei_terms,bc5cee26b66b99415e0fc0d6b48ce6e4,hk_ei_terms__bc5cee26b66b99415e0fc0d6b48ce6e4
郭偉强,Hong Kong legislative candidate Kwok Wai-keung,22.302711,114.177216,Hong Kong,188369,CompanyKeyword,Hong Kong legislative candidate Kwok Wai-keung,,hk_ei_terms,ef0a4de26a09639e71c3a0bf6dcb8614,hk_ei_terms__ef0a4de26a09639e71c3a0bf6dcb8614
黃國健,Hong Kong legislative candidate Wong Kwok-kin,22.302711,114.177216,Hong Kong,188369,FTO,Hong Kong legislative candidate Wong Kwok-kin,,hk_ei_terms,99c8807cdbbf1999d14801f746cb6a95,hk_ei_terms__99c8807cdbbf1999d14801f746cb6a95
麥美娟,Hong Kong legislative candidate Alice Mak,22.302711,114.177216,Hong Kong,188369,Organization,Hong Kong legislative candidate Alice Mak,,hk_ei_terms,b2b7e1d701ad2a669f6c3425854bf088,hk_ei_terms__b2b7e1d701ad2a669f6c3425854bf088
陸頌雄,Hong Kong legislative candidate Luk Chung-hung,22.302711,114.177216,Hong Kong,188369,Keyphrase,Hong Kong legislative candidate Luk Chung-hung,,hk_ei_terms,375e625208abf4b1addbfded5edf6744,hk_ei_terms__375e625208abf4b1addbfded5edf6744
易志明,Hong Kong legislative candidate Frankie Yick,22.302711,114.177216,Hong Kong,188369,Legislator,Hong Kong legislative candidate Frankie Yick,,hk_ei_terms,03a39daf2c43827b3ee6e55d6fd67624,hk_ei_terms__03a39daf2c43827b3ee6e55d6fd67624
鍾國斌,Hong Kong legislative candidate Felix Chung,22.302711,114.177216,Hong Kong,188369,News,Hong Kong legislative candidate Felix Chung,,hk_ei_terms,cf71763f9ed157cad13287eb27f70e85,hk_ei_terms__cf71763f9ed157cad13287eb27f70e85
邵家輝,Hong Kong legislative candidate Peter Shiu,22.302711,114.177216,Hong Kong,188369,space,Hong Kong legislative candidate Peter Shiu,,hk_ei_terms,5d74b1153e3f15d6c358ad9a2b8ace46,hk_ei_terms__5d74b1153e3f15d6c358ad9a2b8ace46
張宇人,Hong Kong legislative candidate Tommy Cheung,22.302711,114.177216,Hong Kong,188369,Refinery,Hong Kong legislative candidate Tommy Cheung,,hk_ei_terms,7bfad5da85a15db8a75f3289f6e5970a,hk_ei_terms__7bfad5da85a15db8a75f3289f6e5970a
葉劉淑儀,Hong Kong legislative candidate Regina Ip,22.302711,114.177216,Hong Kong,188369,Shipping,Hong Kong legislative candidate Regina Ip,,hk_ei_terms,147a56520884b611c53412c6a08e65c9,hk_ei_terms__147a56520884b611c53412c6a08e65c9
容海恩,Hong Kong legislative candidate Eunice Yung,22.302711,114.177216,Hong Kong,188369,DiplomaticFacilities,Hong Kong legislative candidate Eunice Yung,,hk_ei_terms,78f0caf7b9891d408eec64650e537cd5,hk_ei_terms__78f0caf7b9891d408eec64650e537cd5
田北辰,Hong Kong legislative candidate Michael Tien,22.302711,114.177216,Hong Kong,188369,News,Hong Kong legislative candidate Michael Tien,,hk_ei_terms,2d938c0a21b792fcd6439cc043680fef,hk_ei_terms__2d938c0a21b792fcd6439cc043680fef
horace cheung,Hong Kong legislative candidate Horace Cheung,22.302711,114.177216,Hong Kong,188369,Exec,Hong Kong legislative candidate Horace Cheung,,hk_ei_terms,9b0dd1e8df8693425b848c888aaa57a7,hk_ei_terms__9b0dd1e8df8693425b848c888aaa57a7
ann chiang,Hong Kong legislative candidate Ann Chiang,22.302711,114.177216,Hong Kong,188369,Consulates,Hong Kong legislative candidate Ann Chiang,,hk_ei_terms,f391ee6402b69d0d68b0e5957cc2afbe,hk_ei_terms__f391ee6402b69d0d68b0e5957cc2afbe
vincent cheng wing-shun,Hong Kong legislative candidate Vincent Cheng Wing-shun,22.302711,114.177216,Hong Kong,188369,ForeignMinistry,Hong Kong legislative candidate Vincent Cheng Wing-shun,,hk_ei_terms,3edf71e388f34bb7f52bb9c7f4f706e1,hk_ei_terms__3edf71e388f34bb7f52bb9c7f4f706e1
wilson or chong-shing,Hong Kong legislative candidate Wilson Or Chong-shing,22.302711,114.177216,Hong Kong,188369,FTO,Hong Kong legislative candidate Wilson Or Chong-shing,,hk_ei_terms,7ad16226269f1e116e098ec7f0ba864d,hk_ei_terms__7ad16226269f1e116e098ec7f0ba864d
ben chan,Hong Kong legislative candidate Ben Chan,22.302711,114.177216,Hong Kong,188369,Person,Hong Kong legislative candidate Ben Chan,,hk_ei_terms,e14d8a7a81389af0f4495fb6579dabca,hk_ei_terms__e14d8a7a81389af0f4495fb6579dabca
leung che-cheung,Hong Kong legislative candidate Leung Che-cheung,22.302711,114.177216,Hong Kong,188369,Person,Hong Kong legislative candidate Leung Che-cheung,,hk_ei_terms,07103dac09d576c45f0ebebdc2c92664,hk_ei_terms__07103dac09d576c45f0ebebdc2c92664
gary chan,Hong Kong legislative candidate Gary Chan,22.302711,114.177216,Hong Kong,188369,Organization,Hong Kong legislative candidate Gary Chan,,hk_ei_terms,829897f280a1dffb3f8558249c1a776f,hk_ei_terms__829897f280a1dffb3f8558249c1a776f
elizabeth quat,Hong Kong legislative candidate Elizabeth Quat,22.302711,114.177216,Hong Kong,188369,AAEntity,Hong Kong legislative candidate Elizabeth Quat,,hk_ei_terms,ea0593127a062b262213723b8f346759,hk_ei_terms__ea0593127a062b262213723b8f346759
steven ho,Hong Kong legislative candidate Steven Ho,22.302711,114.177216,Hong Kong,188369,Organization,Hong Kong legislative candidate Steven Ho,,hk_ei_terms,e1e66b689915ede178204aafa2a47199,hk_ei_terms__e1e66b689915ede178204aafa2a47199
wong ting-kwong,Hong Kong legislative candidate Wong Ting-kwong,22.302711,114.177216,Hong Kong,188369,space,Hong Kong legislative candidate Wong Ting-kwong,,hk_ei_terms,24b6e63b0ad52e774a534ca40fcb6b12,hk_ei_terms__24b6e63b0ad52e774a534ca40fcb6b12
lau kwok-fan,Hong Kong legislative candidate Lau Kwok-fan,22.302711,114.177216,Hong Kong,188369,Keyphrase,Hong Kong legislative candidate Lau Kwok-fan,,hk_ei_terms,d4dc2ce16a59eaab0c53758dee379742,hk_ei_terms__d4dc2ce16a59eaab0c53758dee379742
starry lee,Hong Kong legislative candidate Starry Lee,22.302711,114.177216,Hong Kong,188369,Legislator,Hong Kong legislative candidate Starry Lee,,hk_ei_terms,68eb7cc2ff0498ee440431eb67301a45,hk_ei_terms__68eb7cc2ff0498ee440431eb67301a45
holden chow,Hong Kong legislative candidate Holden Chow,22.302711,114.177216,Hong Kong,188369,Media,Hong Kong legislative candidate Holden Chow,,hk_ei_terms,110d819d9e188591240a631ba2cdf183,hk_ei_terms__110d819d9e188591240a631ba2cdf183
andrew leung,Hong Kong legislative candidate Andrew Leung,22.302711,114.177216,Hong Kong,188369,Refinery,Hong Kong legislative candidate Andrew Leung,,hk_ei_terms,345c07b625258e71448276f616dd66fd,hk_ei_terms__345c07b625258e71448276f616dd66fd
ng wing-ka,Hong Kong legislative candidate Ng Wing-ka,22.302711,114.177216,Hong Kong,188369,News,Hong Kong legislative candidate Ng Wing-ka,,hk_ei_terms,fc9c006e87818d423226a3f97ccccbc6,hk_ei_terms__fc9c006e87818d423226a3f97ccccbc6
jeffrey lam,Hong Kong legislative candidate Jeffrey Lam,22.302711,114.177216,Hong Kong,188369,Refinery,Hong Kong legislative candidate Jeffrey Lam,,hk_ei_terms,70773b0a46b49d2633aa93929d16f175,hk_ei_terms__70773b0a46b49d2633aa93929d16f175
kenneth lau,Hong Kong legislative candidate Kenneth Lau,22.302711,114.177216,Hong Kong,188369,DiplomaticFacilities,Hong Kong legislative candidate Kenneth Lau,,hk_ei_terms,2c98618c6342d636b74c9d081eca5d52,hk_ei_terms__2c98618c6342d636b74c9d081eca5d52
christopher cheung,Hong Kong legislative candidate Christopher Cheung,22.302711,114.177216,Hong Kong,188369,Keyphrase,Hong Kong legislative candidate Christopher Cheung,,hk_ei_terms,d1e9d5658de24eb619a911141304fe15,hk_ei_terms__d1e9d5658de24eb619a911141304fe15
abraham shek,Hong Kong legislative candidate Abraham Shek,22.302711,114.177216,Hong Kong,188369,ForeignMinistry,Hong Kong legislative candidate Abraham Shek,,hk_ei_terms,8e1ca0344a2134548e0c93af9fbd0134,hk_ei_terms__8e1ca0344a2134548e0c93af9fbd0134
lo wai-kwok,Hong Kong legislative candidate Lo Wai-kwok,22.302711,114.177216,Hong Kong,188369,IndustryTerm,Hong Kong legislative candidate Lo Wai-kwok,,hk_ei_terms,31f6ff4619285df6935a4490a3ca9435,hk_ei_terms__31f6ff4619285df6935a4490a3ca9435
priscilla leung,Hong Kong legislative candidate Priscilla Leung,22.302711,114.177216,Hong Kong,188369,Refinery,Hong Kong legislative candidate Priscilla Leung,,hk_ei_terms,bc5cee26b66b99415e0fc0d6b48ce6e4,hk_ei_terms__bc5cee26b66b99415e0fc0d6b48ce6e4
kwok wai-keung,Hong Kong legislative candidate Kwok Wai-keung,22.302711,114.177216,Hong Kong,188369,FTO,Hong Kong legislative candidate Kwok Wai-keung,,hk_ei_terms,ef0a4de26a09639e71c3a0bf6dcb8614,hk_ei_terms__ef0a4de26a09639e71c3a0bf6dcb8614
wong kwok-kin,Hong Kong legislative candidate Wong Kwok-kin,22.302711,114.177216,Hong Kong,188369,Diplomat,Hong Kong legislative candidate Wong Kwok-kin,,hk_ei_terms,99c8807cdbbf1999d14801f746cb6a95,hk_ei_terms__99c8807cdbbf1999d14801f746cb6a95
alice mak,Hong Kong legislative candidate Alice Mak,22.302711,114.177216,Hong Kong,188369,News,Hong Kong legislative candidate Alice Mak,,hk_ei_terms,b2b7e1d701ad2a669f6c3425854bf088,hk_ei_terms__b2b7e1d701ad2a669f6c3425854bf088
luk chung-hung,Hong Kong legislative candidate Luk Chung-hung,22.302711,114.177216,Hong Kong,188369,DiplomaticFacilities,Hong Kong legislative candidate Luk Chung-hung,,hk_ei_terms,375e625208abf4b1addbfded5edf6744,hk_ei_terms__375e625208abf4b1addbfded5edf6744
frankie yick,Hong Kong legislative candidate Frankie Yick,22.302711,114.177216,Hong Kong,188369,Consulates,Hong Kong legislative candidate Frankie Yick,,hk_ei_terms,03a39daf2c43827b3ee6e55d6fd67624,hk_ei_terms__03a39daf2c43827b3ee6e55d6fd67624
felix chung,Hong Kong legislative candidate Felix Chung,22.302711,114.177216,Hong Kong,188369,Keyphrase,Hong Kong legislative candidate Felix Chung,,hk_ei_terms,cf71763f9ed157cad13287eb27f70e85,hk_ei_terms__cf71763f9ed157cad13287eb27f70e85
peter shiu,Hong Kong legislative candidate Peter Shiu,22.302711,114.177216,Hong Kong,188369,Keyphrase,Hong Kong legislative candidate Peter Shiu,,hk_ei_terms,5d74b1153e3f15d6c358ad9a2b8ace46,hk_ei_terms__5d74b1153e3f15d6c358ad9a2b8ace46
tommy cheung,Hong Kong legislative candidate Tommy Cheung,22.302711,114.177216,Hong Kong,188369,Legislator,Hong Kong legislative candidate Tommy Cheung,,hk_ei_terms,7bfad5da85a15db8a75f3289f6e5970a,hk_ei_terms__7bfad5da85a15db8a75f3289f6e5970a
regina ip,Hong Kong legislative candidate Regina Ip,22.302711,114.177216,Hong Kong,188369,Exec,Hong Kong legislative candidate Regina Ip,,hk_ei_terms,147a56520884b611c53412c6a08e65c9,hk_ei_terms__147a56520884b611c53412c6a08e65c9
eunice yung,Hong Kong legislative candidate Eunice Yung,22.302711,114.177216,Hong Kong,188369,Media,Hong Kong legislative candidate Eunice Yung,,hk_ei_terms,78f0caf7b9891d408eec64650e537cd5,hk_ei_terms__78f0caf7b9891d408eec64650e537cd5
michael tien,Hong Kong legislative candidate Michael Tien,22.302711,114.177216,Hong Kong,188369,Pipeline,Hong Kong legislative candidate Michael Tien,,hk_ei_terms,2d938c0a21b792fcd6439cc043680fef,hk_ei_terms__2d938c0a21b792fcd6439cc043680fef
legco,Hong Kong Legislative Council,22.302711,114.177216,Hong Kong,188369,CompanyKeyword,Hong Kong Legislative Council,,hk_ei_terms,432051590cccdff9c0c879cbad431467,hk_ei_terms__432051590cccdff9c0c879cbad431467
national security law,Hong Kong National Security Law,22.302711,114.177216,Hong Kong,188369,IndustryTerm,Hong Kong National Security Law,,hk_ei_terms,a3cb6daa72355e5e29cd758a31146c41,hk_ei_terms__a3cb6daa72355e5e29cd758a31146c41
legislative council,Hong Kong Legislative Council,22.302711,114.177216,Hong Kong,188369,AAEntity,Hong Kong Legislative Council,,hk_ei_terms,432051590cccdff9c0c879cbad431467,hk_ei_terms__432051590cccdff9c0c879cbad431467
立法會,Hong Kong Legislative Council,22.302711,114.177216,Hong Kong,188369,Consulates,Hong Kong Legislative Council,,hk_ei_terms,432051590cccdff9c0c879cbad431467,hk_ei_terms__432051590cccdff9c0c879cbad431467
立法会,Hong Kong Legislative Council,22.302711,114.177216,Hong Kong,188369,DiplomaticFacilities,Hong Kong Legislative Council,,hk_ei_terms,432051590cccdff9c0c879cbad431467,hk_ei_terms__432051590cccdff9c0c879cbad431467
流料,fake information,22.302711,114.177216,Hong Kong,188369,IndustryTerm,fake information,,hk_ei_terms,24b8a9e3becd46da158c3aadf58da773,hk_ei_terms__24b8a9e3becd46da158c3aadf58da773
做票,ballot stuffing,22.302711,114.177216,Hong Kong,188369,FTO,ballot stuffing,,hk_ei_terms,edb1166796dd0b36a77ae92c39edb1d3,hk_ei_terms__edb1166796dd0b36a77ae92c39edb1d3
种票,vote planting,22.302711,114.177216,Hong Kong,188369,Media,vote planting,,hk_ei_terms,590c563e95b8363dd773b73a1fdd0e51,hk_ei_terms__590c563e95b8363dd773b73a1fdd0e51
分裂國家,secession,22.302711,114.177216,Hong Kong,188369,Keyphrase,secession,,hk_ei_terms,fe8fbef3e72e6dfa0d0a3a934f39180f,hk_ei_terms__fe8fbef3e72e6dfa0d0a3a934f39180f
吁投白票,calls for blank votes,22.302711,114.177216,Hong Kong,188369,Shipping,calls for blank votes,,hk_ei_terms,5d8b548ec8899fa65d821015801dc943,hk_ei_terms__5d8b548ec8899fa65d821015801dc943
白票,blank votes,22.302711,114.177216,Hong Kong,188369,DiplomaticFacilities,blank votes,,hk_ei_terms,ee9d726daa29363f3e79e1a93a17f51f,hk_ei_terms__ee9d726daa29363f3e79e1a93a17f51f
fake information,fake information,22.302711,114.177216,Hong Kong,188369,Consulates,fake information,,hk_ei_terms,24b8a9e3becd46da158c3aadf58da773,hk_ei_terms__24b8a9e3becd46da158c3aadf58da773
ballot stuffing,ballot stuffing,22.302711,114.177216,Hong Kong,188369,Refinery,ballot stuffing,,hk_ei_terms,edb1166796dd0b36a77ae92c39edb1d3,hk_ei_terms__edb1166796dd0b36a77ae92c39edb1d3
vote planting,vote planting,22.302711,114.177216,Hong Kong,188369,Consulates,vote planting,,hk_ei_terms,590c563e95b8363dd773b73a1fdd0e51,hk_ei_terms__590c563e95b8363dd773b73a1fdd0e51
terrorism,terrorism,22.302711,114.177216,Hong Kong,188369,CompanyKeyword,terrorism,,hk_ei_terms,1b0471fb57c0eaeffe970689d8207ba6,hk_ei_terms__1b0471fb57c0eaeffe970689d8207ba6
collusion,collusion,22.302711,114.177216,Hong Kong,188369,Person,collusion,,hk_ei_terms,84fd2aa4a02721abcabe461c22330676,hk_ei_terms__84fd2aa4a02721abcabe461c22330676
