original_text,caption_text,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
قرى آهلة بالسكان,populated areas,News,populated areas,,houthis_claims_secondary_location,51fe30a757754cd0f623031142d23dd8,houthis_claims_secondary_location__51fe30a757754cd0f623031142d23dd8
ممتلكات المواطنين,civilians' property,space,civilians' property,,houthis_claims_secondary_location,426be120705c49638d82f49f2d04adf9,houthis_claims_secondary_location__426be120705c49638d82f49f2d04adf9
أماكن متفرقة,multiple areas,Organization,multiple areas,,houthis_claims_secondary_location,a9062d2e1858ce41611503bd9b8e07fc,houthis_claims_secondary_location__a9062d2e1858ce41611503bd9b8e07fc
مواقع الجيش واللجان,positions,IndustryTerm,positions,,houthis_claims_secondary_location,365a4a972db646c76d115b3897f2d4de,houthis_claims_secondary_location__365a4a972db646c76d115b3897f2d4de
منازل المواطنين,civilian houses,ForeignMinister,civilian houses,,houthis_claims_secondary_location,eee3c947c71b38b738a1a5516dae9872,houthis_claims_secondary_location__eee3c947c71b38b738a1a5516dae9872
الأحياء السكنية,residential areas,Diplomat,residential areas,,houthis_claims_secondary_location,b6a847df385ef7a368ee8ad38075651a,houthis_claims_secondary_location__b6a847df385ef7a368ee8ad38075651a
منازل ومزارع,houses and farms,Refinery,houses and farms,,houthis_claims_secondary_location,356b3b3ca4c77d8b8afa31607fc33d2f,houthis_claims_secondary_location__356b3b3ca4c77d8b8afa31607fc33d2f
مزرعة مواطن,farmland,space,farmland,,houthis_claims_secondary_location,ac9094d64bf2626d3efdb1132045c224,houthis_claims_secondary_location__ac9094d64bf2626d3efdb1132045c224
خزان مياه للشرب,drinking water tank,News,drinking water tank,,houthis_claims_secondary_location,8e8a3c6239eb2b5b9f3a09f4cef1679f,houthis_claims_secondary_location__8e8a3c6239eb2b5b9f3a09f4cef1679f
حي سكني,residential neighborhood,FTO,residential neighborhood,,houthis_claims_secondary_location,bd5cb70fe62d96a1609f62a0ca738499,houthis_claims_secondary_location__bd5cb70fe62d96a1609f62a0ca738499
مطاحن البحر الأحمر,Red Sea Mills grain facility,Exec,Red Sea Mills grain facility,,houthis_claims_secondary_location,c463e38ab15cc68b2aa97f6d648c2c51,houthis_claims_secondary_location__c463e38ab15cc68b2aa97f6d648c2c51
مناطق متفرقة,multiple areas,Media,multiple areas,,houthis_claims_secondary_location,a9062d2e1858ce41611503bd9b8e07fc,houthis_claims_secondary_location__a9062d2e1858ce41611503bd9b8e07fc
خلال الساعات الماضية,over past several hours,Legislator,over past several hours,,houthis_claims_secondary_location,f4353a45d07c8bcab11144c9069f7a2c,houthis_claims_secondary_location__f4353a45d07c8bcab11144c9069f7a2c